,td_ini_IPAddress,td_ini_MACAddress,td_ini_IPTs,td_sub_IPAddress,td_sub_MACAddress,td_sub_IPTs,td_TotActiveTimePrepSubmissionTs,td_TotalPreparationSubmissionTs,tc_TrustedCustomerCd,tc_OOBSecurityVerificationCd,tc_LastSubmissionRqrOOBCd,tc_pc_UserNameChangeInd,tc_pc_EmailAddressChangeInd,tc_pc_CellPhoneNumberChangeInd,tc_pc_PasswordChangeInd,tc_asc_IdentityAssuranceLevelCd,tc_asc_AuthenticatorAssuranceLevelCd,tc_asc_FederationAssuranceLevelCd,tc_PaymentDeclineCd,tc_AuthenticationReviewCd,is_fraud
0,b945:57c1:1253:978c:5501:46ce:1c31:d413,7d:18:e9:4b:ea:26,2022-06-16 12:25:35,b945:57c1:1253:978c:5501:46ce:1c31:d413,7d:18:e9:4b:ea:26,2022-06-20 14:28:18,1267,5884,1,05,1,,0,1,0,IAL2,AAL1,FAL3,1,5,0
1,155.4.164.83,f8:8a:9d:db:b4:ff,2022-05-30 21:46:32,217.109.58.72,f8:8a:9d:db:b4:ff,2022-06-12 01:53:30,9037,17528,3,02,0,0,0,0,0,IAL2,AAL3,FAL3,2,6,0
2,73.160.242.43,86:e1:2d:d3:d8:d4,2021-09-22 19:02:52,2b85:fce4:5681:ddc0:cb82:1430:dab9:64b2,86:e1:2d:d3:d8:d4,2021-10-07 17:04:27,9864,21483,0,11,1,0,0,,0,IAL3,AAL1,FAL2,2,6,0
3,222.246.139.242,72:39:0f:18:18:f3,2022-07-10 09:24:01,222.246.139.242,72:39:0f:18:18:f3,2022-07-15 18:44:33,4472,7762,1,04,1,0,0,0,0,IAL2,AAL3,FAL2,0,7,0
4,166.224.114.104,,2022-03-23 22:53:35,166.224.114.104,,2022-04-01 12:05:59,2954,12314,3,11,0,1,0,0,0,IAL3,AAL2,FAL2,0,7,0
5,128.181.76.112,28:42:6a:86:5a:1a,2022-06-14 08:05:37,128.181.76.112,28:42:6a:86:5a:1a,2022-06-16 01:32:50,2195,2489,1,04,0,1,1,1,1,IAL2,AAL2,FAL1,0,,1
6,240.208.17.224,7b:7d:18:b0:94:04,2022-12-09 20:44:12,224.144.126.229,7b:7d:18:b0:94:04,2022-12-10 04:14:01,359,451,0,07,1,0,0,0,0,,AAL2,FAL2,1,6,0
7,167.41.28.173,94:c8:68:9d:10:36,2021-06-13 19:55:16,167.41.28.173,94:c8:68:9d:10:36,2021-06-25 18:45:16,3354,17212,2,,1,0,1,0,0,IAL1,,FAL1,0,,0
8,86.153.176.244,f7:99:01:ff:db:e5,2022-12-08 12:31:01,86.153.176.244,f7:99:01:ff:db:e5,2022-12-08 16:46:52,67,257,,12,0,0,1,0,0,IAL2,AAL2,FAL2,2,6,0
9,26f2:4859:1c82:5948:b4c4:2974:d1f4:fad0,1a:59:a6:bf:a3:50,2022-05-25 13:23:23,c6af:e4ca:b3d9:a113:cbf7:00fd:faf2:2f6b,1a:59:a6:bf:a3:50,2022-05-28 03:00:36,927,3699,3,12,0,0,0,0,0,IAL2,AAL2,FAL2,1,7,0
